baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,PTE_global_absint__frozen_polybeam,PTE_global_absint__full_polybeam,PTE_global_max__frozen_polybeam,PTE_global_max__full_polybeam,Z_PS_max__frozen_polybeam,Z_PS_max__full_polybeam,relative_abs_bias__frozen_polybeam,relative_abs_bias__full_polybeam,candidate_statistical__frozen_polybeam,candidate_statistical__full_polybeam,absint_strict__frozen_polybeam,absint_strict__full_polybeam,local_physical_1e3__frozen_polybeam,local_physical_1e3__full_polybeam,absint_physical_1e3__frozen_polybeam,absint_physical_1e3__full_polybeam,beam_robust_local_physical_1e3,frozen_only_local_physical_1e3,full_only_local_physical_1e3,beam_robust_absint_physical_1e3,frozen_only_absint_physical_1e3,full_only_absint_physical_1e3,delta_PTE_global_max,delta_PTE_global_absint,delta_relative_abs_bias
4_76,typical,33,khz_comb,30.0,single,0.2673267326732673,0.0594059405940594,0.396039603960396,0.3168316831683168,0.5399878354663182,0.3962583898349377,0.0001362883857137,0.0001532346719985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.07920792079207922,-0.20792079207920788,1.6946286284800008e-05
4_76,typical,33,khz_comb,300.0,multi,0.0198019801980198,0.0594059405940594,0.3069306930693069,0.1782178217821782,0.5317968781501131,1.1554876152412918,0.008644819865384,0.0111469018265877,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.12871287128712872,0.039603960396039604,0.0025020819612036997
4_76,typical,33,khz_comb,300.0,single,0.1287128712871287,0.0099009900990099,0.4158415841584158,0.3564356435643564,0.3840586558701964,0.8257452865224822,0.001383793399889,0.0015480810843346,False,False,False,True,False,False,False,True,False,False,False,False,False,True,-0.0594059405940594,-0.11881188118811879,0.00016428768444559996
4_76,typical,33,khz_comb,1000.0,multi,0.0396039603960396,0.0792079207920792,0.2178217821782178,0.2079207920792079,1.1481692323232446,0.9547754277266596,0.0311401658365432,0.0434650853726256,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.009900990099009882,0.0396039603960396,0.012324919536082397
4_76,typical,33,khz_comb,1000.0,single,0.099009900990099,0.1584158415841584,0.4059405940594059,0.3069306930693069,0.2589527376337716,1.7396756948958592,0.0049029106620268,0.0055347507224284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.09900990099009899,0.05940594059405939,0.0006318400604016002
4_76,typical,33,lines,10.0,multi,0.0792079207920792,0.0594059405940594,0.4455445544554455,0.396039603960396,0.190471890106386,0.3737111002882695,0.000300372367138,0.0004213616202272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.04950495049504949,-0.019801980198019792,0.00012098925308919999
4_76,typical,33,lines,10.0,single,0.2871287128712871,0.1287128712871287,0.3465346534653465,0.5346534653465347,0.3406181332493498,-0.0593645622078252,4.835790212333429e-05,5.5967812067082464e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18811881188118817,-0.15841584158415842,7.609909943748173e-06
4_76,typical,33,lines,30.0,multi,0.0198019801980198,0.0792079207920792,0.495049504950495,0.4851485148514851,0.063144086124432,0.0344577068385063,0.0009004869601539,0.0012630728351207,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.00990099009900991,0.059405940594059396,0.0003625858749668001
4_76,typical,33,lines,30.0,single,0.3069306930693069,0.1584158415841584,0.3465346534653465,0.4455445544554455,0.5066087189095622,0.1392613314525781,0.0001452087172505,0.0001679169804857,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09900990099009899,-0.14851485148514854,2.2708263235199995e-05
4_76,typical,33,lines,300.0,multi,0.0594059405940594,0.0693069306930693,0.4356435643564356,0.4752475247524752,0.1242804573584374,0.2283631896741103,0.0090701985799698,0.0128594497288094,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03960396039603964,0.009900990099009896,0.003789251148839601
4_76,typical,33,lines,300.0,single,0.2475247524752475,0.1089108910891089,0.2673267326732673,0.297029702970297,0.4065389244580207,0.3831078925537369,0.0014753930650992,0.0016982242555641,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02970297029702973,-0.1386138613861386,0.00022283119046489987
4_76,typical,33,lines,1000.0,multi,0.0594059405940594,0.0198019801980198,0.396039603960396,0.3366336633663366,0.4554675993599775,0.5219660369571972,0.0341401748780149,0.0541645890140861,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0594059405940594,-0.039603960396039604,0.0200244141360712
4_76,typical,33,lines,1000.0,single,0.0693069306930693,0.0792079207920792,0.3762376237623762,0.4455445544554455,0.6364789276346443,0.2012524106967128,0.0053119924786369,0.0062374751486849,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06930693069306931,0.009900990099009896,0.0009254826700479998
4_76,typical,33,smooth,10.0,multi,0.0495049504950495,0.0693069306930693,0.6336633663366337,0.3564356435643564,-0.4040916441350854,0.3848552226875227,0.0003004571736398,0.000421707152762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.27722772277227725,0.0198019801980198,0.00012124997912220002
4_76,typical,33,smooth,10.0,single,0.3762376237623762,0.2178217821782178,0.4257425742574257,0.5346534653465347,0.3294941639937431,-0.0235339613004766,4.8367490512467015e-05,5.599542901019663e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10891089108910901,-0.1584158415841584,7.627938497729617e-06
4_76,typical,33,smooth,30.0,multi,0.0495049504950495,0.0792079207920792,0.4554455445544554,0.4257425742574257,0.1262571787884244,0.2192957701983975,0.0009007516007582,0.0012640594722789,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.02970297029702973,0.029702970297029695,0.0003633078715206999
4_76,typical,33,smooth,30.0,single,0.1584158415841584,0.2178217821782178,0.4257425742574257,0.4455445544554455,0.0837661012777041,0.1141030630308593,0.0001452400950333,0.0001680016074546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01980198019801982,0.0594059405940594,2.2761512421299993e-05
4_76,typical,33,smooth,300.0,multi,0.0396039603960396,0.0495049504950495,0.4257425742574257,0.396039603960396,0.1391768873817283,0.3447583290677549,0.0090702642329345,0.0128655875503204,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.029702970297029674,0.009900990099009903,0.0037953233173859003
4_76,typical,33,smooth,300.0,single,0.1782178217821782,0.0495049504950495,0.3168316831683168,0.297029702970297,0.4512239007905253,0.647151920297668,0.0014758052304448,0.001699160873008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.019801980198019764,-0.12871287128712872,0.00022335564256320008
4_76,typical,33,smooth,1000.0,multi,0.0594059405940594,0.0792079207920792,0.3069306930693069,0.3366336633663366,0.635944307054537,0.5445120354326788,0.0341479860257148,0.0542015579344526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.029702970297029674,0.019801980198019792,0.020053571908737806
4_76,typical,33,smooth,1000.0,single,0.1485148514851485,0.099009900990099,0.396039603960396,0.4059405940594059,0.4167989243065424,0.2165956003892363,0.0053132268058164,0.0062382446204784,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00990099009900991,-0.04950495049504951,0.0009250178146620004
82_0,quiet,17,khz_comb,10.0,multi,0.9702970297029704,0.3465346534653465,0.9801980198019802,1.0,-1.6502705993653854,-2.6208326799975508,3.482350845836659e-05,8.89318176843134e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01980198019801982,-0.6237623762376239,5.410830922594681e-05
82_0,quiet,17,khz_comb,10.0,single,0.3168316831683168,0.1386138613861386,0.6831683168316832,0.8712871287128713,-0.4663033306220606,-0.8385028527671382,1.7128764497692354e-05,1.7619890288919736e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18811881188118806,-0.17821782178217818,4.911257912273821e-07
82_0,quiet,17,khz_comb,30.0,multi,0.99009900990099,0.2475247524752475,0.99009900990099,1.0,-2.113133676903342,-2.8108212842061837,0.0001045030507186,0.0002668536314885,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00990099009901002,-0.7425742574257425,0.00016235058076990002
82_0,quiet,17,khz_comb,30.0,single,0.3861386138613861,0.1782178217821782,0.6732673267326733,0.8613861386138614,-0.4904090266364818,-0.7744205311753005,5.1393977012252365e-05,5.285648707560889e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18811881188118806,-0.20792079207920788,1.4625100633565218e-06
82_0,quiet,17,khz_comb,300.0,multi,0.9702970297029704,0.2376237623762376,0.99009900990099,0.99009900990099,-1.6165317420099263,-2.3760857996443763,0.0010498822336802,0.0026766049408723,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.7326732673267328,0.0016267227071921002
82_0,quiet,17,khz_comb,300.0,single,0.4257425742574257,0.1881188118811881,0.6633663366336634,0.8712871287128713,-0.4159485717920403,-1.0199439478068546,0.0005156273919544,0.0005284027208021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20792079207920788,-0.23762376237623759,1.2775328847699965e-05
82_0,quiet,17,khz_comb,1000.0,multi,0.9603960396039604,0.2871287128712871,0.99009900990099,1.0,-1.949485340461223,-2.273717200390402,0.0035543515269153,0.0089963914388325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00990099009901002,-0.6732673267326732,0.005442039911917199
82_0,quiet,17,khz_comb,1000.0,single,0.2871287128712871,0.2277227722772277,0.6138613861386139,0.8811881188118812,-0.3113726159795554,-0.9738027786405709,0.0017519877466083,0.0017685675504834,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26732673267326734,-0.0594059405940594,1.6579803875100023e-05
