case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,cal_seed,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,6,0.002997002997002997,0.03035463343705795,0.4955044955044955,0.003996003996003996,0.034887114914686934,0.5784215784215784,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,7,0.002997002997002997,0.03035087065788931,0.4945054945054945,0.003996003996003996,0.03487534465515912,0.5754245754245755,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,8,0.003996003996003996,0.03036578146559111,0.4935064935064935,0.003996003996003996,0.03488876950308676,0.5774225774225774,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,9,0.002997002997002997,0.030326201342171063,0.4985014985014985,0.002997002997002997,0.034860027666651354,0.5764235764235764,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,10,0.000999000999000999,0.030352007575727837,0.4985014985014985,0.001998001998001998,0.03488081175427928,0.5784215784215784,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,1,0.005994005994005994,0.030367439738565066,0.5114885114885115,0.003996003996003996,0.03490720669627255,0.5784215784215784,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,2,0.007992007992007992,0.030364295306913914,0.4975024975024975,0.005994005994005994,0.03491014303855065,0.5714285714285714,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,3,0.002997002997002997,0.030395767658755662,0.5044955044955045,0.000999000999000999,0.03490638036367212,0.5794205794205795,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,4,0.000999000999000999,0.03036279022848869,0.4955044955044955,0.002997002997002997,0.03487846225116377,0.5804195804195804,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,5,0.001998001998001998,0.030297073585915334,0.5034965034965035,0.000999000999000999,0.034833971158185074,0.5804195804195804,window-integrated candidate
