case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,cal_seed,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,7,0.001998001998001998,0.03129132989197593,0.5164835164835165,0.006993006993006993,0.039838692352223926,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,8,0.001998001998001998,0.031279906772340965,0.5164835164835165,0.006993006993006993,0.039842060714019314,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,9,0.001998001998001998,0.03129363137337292,0.5154845154845155,0.006993006993006993,0.03987162488596915,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,10,0.001998001998001998,0.03127196714656844,0.5174825174825175,0.006993006993006993,0.03981713254166312,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,1,0.004995004995004995,0.031286901275237096,0.5154845154845155,0.006993006993006993,0.03983153433282872,0.4995004995004995,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,2,0.001998001998001998,0.031129765501337548,0.5164835164835165,0.006993006993006993,0.03965320256073464,0.5084915084915085,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,3,0.004995004995004995,0.031134801573599526,0.5194805194805194,0.006993006993006993,0.03965081027672392,0.5034965034965035,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,4,0.000999000999000999,0.031211377242976335,0.5154845154845155,0.006993006993006993,0.039781212337658856,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,5,0.001998001998001998,0.031313312886865396,0.5164835164835165,0.006993006993006993,0.039872270793184554,0.4995004995004995,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,6,0.003996003996003996,0.0312891684342274,0.5154845154845155,0.006993006993006993,0.03982571517975769,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,7,0.004995004995004995,0.0313021000560062,0.5174825174825175,0.006993006993006993,0.03984972349840801,0.4955044955044955,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,8,0.001998001998001998,0.03122876697614538,0.5164835164835165,0.006993006993006993,0.03977662598336593,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,9,0.001998001998001998,0.03135594647836881,0.5124875124875125,0.006993006993006993,0.039959352827521846,0.4955044955044955,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,10,0.002997002997002997,0.03127992974206582,0.5164835164835165,0.006993006993006993,0.03980401891700122,0.4995004995004995,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,1,0.003996003996003996,0.03487002429692683,0.5784215784215784,0.004995004995004995,0.030344742301339506,0.4985014985014985,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,2,0.002997002997002997,0.03485995560102738,0.5774225774225774,0.002997002997002997,0.030336124994101744,0.4945054945054945,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,3,0.002997002997002997,0.034887765855661404,0.5774225774225774,0.001998001998001998,0.030358559803991828,0.4965034965034965,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,4,0.002997002997002997,0.03491551522185427,0.5774225774225774,0.002997002997002997,0.03038892147779166,0.4945054945054945,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,5,0.002997002997002997,0.03488374484122906,0.5774225774225774,0.002997002997002997,0.030356468006640484,0.4925074925074925,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,6,0.003996003996003996,0.034851410345308954,0.5764235764235764,0.005994005994005994,0.030330591335384138,0.4945054945054945,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,7,0.002997002997002997,0.03490516901306472,0.5764235764235764,0.000999000999000999,0.030364504931101204,0.5064935064935064,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,8,0.002997002997002997,0.0348668007629329,0.5794205794205795,0.000999000999000999,0.030339997073683598,0.4925074925074925,window-integrated candidate
