baseline_id,baseline_length_m,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,flag_fraction,n_sat_visible,n_sat_visible_center,n_sat_visible_any_bin,n_sat_visible_peak_bin,n_sat_peak_visible,beam_weighted_sat_exposure_center,beam_weighted_sat_exposure_bin_mean,beam_weighted_sat_exposure,max_sat_beam_response,bg_window_power_proxy,max_sat_beam_response_center,max_sat_beam_response_bin,null_mad_win_proxy,pre_risk_score,pre_risk_score_bin,selection_rule,source_uvh5,pol,ant1,ant2,t_start_index,n_time,baseline_enu_e_m,baseline_enu_n_m,baseline_enu_u_m
157_146,140.36979839670377,mid,typical,46,2461041.8194444445,2461041.826267397,0.1653855846774193,6,0,6,6,6,0.0,0.2357282416768072,0.2357282416768072,0.4552977482091947,1096268191.6313782,0.0,0.4552977482091947,1257867.4979591686,1.874030786702616e-07,1.874030786702616e-07,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.157_146.sum.uvh5,ee,157,146,2852,62,138.85501657378413,-20.561363145179588,0.4416105042305148
157_146,140.36979839670377,mid,stress,0,2461041.5,2461041.506822953,0.2350680443548387,4,1,4,4,4,0.3308758856684498,0.5502745938468236,0.5502745938468236,0.7280464634021924,2742341.25303224,0.3308758856684498,0.7280464634021924,5642.644279749944,9.752069536292108e-05,9.752069536292108e-05,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.157_146.sum.uvh5,ee,157,146,0,62,138.85501657378413,-20.561363145179588,0.4416105042305148
159_76,156.200250406372,mid,quiet,22,2461041.652777778,2461041.6596007315,0.1653960853494623,3,0,3,3,3,0.0,0.0434769020580605,0.0434769020580605,0.1229563272443203,601910770.5040245,0.0,0.1229563272443203,2342239.3010909874,1.8562109361673486e-08,1.8562109361673486e-08,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.159_76.sum.uvh5,ee,159,76,1364,62,139.04824485684745,-71.15855658857106,0.7507685892745126
159_76,156.200250406372,mid,typical,44,2461041.8055555555,2461041.8123785085,0.1653015793010752,3,0,3,3,3,0.0,0.2419547912000571,0.2419547912000571,0.7241364102878726,470639928.6938302,0.0,0.7241364102878726,1256843.3532267006,1.9250990235090578e-07,1.9250990235090578e-07,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.159_76.sum.uvh5,ee,159,76,2728,62,139.04824485684745,-71.15855658857106,0.7507685892745126
159_76,156.200250406372,mid,stress,0,2461041.5,2461041.506822953,0.2313613071236559,4,1,4,4,4,0.3308758856684498,0.5502745938468236,0.5502745938468236,0.7280464634021924,7239231.752849161,0.3308758856684498,0.7280464634021924,6417.310390931139,8.574847721632174e-05,8.574847721632174e-05,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.159_76.sum.uvh5,ee,159,76,0,62,139.04824485684745,-71.15855658857106,0.7507685892745126
23_80,207.2758462936688,long,quiet,48,2461041.833333333,2461041.8401562865,0.1671706989247312,2,0,2,2,2,0.0,0.0149220859960422,0.0149220859960422,0.0457676818690719,3862335524.903197,0.0,0.0457676818690719,2563747.4821479414,5.820419561578807e-09,5.820419561578807e-09,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.23_80.sum.uvh5,ee,23,80,2976,62,204.3809184407782,34.519167745151535,-0.3790675964322041
23_80,207.2758462936688,long,typical,44,2461041.8055555555,2461041.8123785085,0.167023689516129,3,0,3,3,3,0.0,0.2419547912000571,0.2419547912000571,0.7241364102878726,633450604.0191344,0.0,0.7241364102878726,2970384.55056685,8.145571291565058e-08,8.145571291565058e-08,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.23_80.sum.uvh5,ee,23,80,2728,62,204.3809184407782,34.519167745151535,-0.3790675964322041
23_80,207.2758462936688,long,stress,0,2461041.5,2461041.506822953,0.2671055947580645,4,1,4,4,4,0.3308758856684498,0.5502745938468236,0.5502745938468236,0.7280464634021924,3243801.5462082755,0.3308758856684498,0.7280464634021924,4946.628727918531,0.0001112423478926,0.0001112423478926,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.23_80.sum.uvh5,ee,23,80,0,62,204.3809184407782,34.519167745151535,-0.3790675964322041
4_196,190.65540049004915,long,quiet,48,2461041.833333333,2461041.8401562865,0.1663831485215053,2,0,2,2,2,0.0,0.0149220859960422,0.0149220859960422,0.0457676818690719,28633808682.506603,0.0,0.0457676818690719,2808954.6732818866,5.3123270866481575e-09,5.3123270866481575e-09,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.4_196.sum.uvh5,ee,4,196,2976,62,-110.15463251035548,155.60547591572114,-1.5409534618225609
4_196,190.65540049004915,long,typical,53,2461041.8680555555,2461041.8748785085,0.1665616599462365,3,1,3,3,3,0.0023396773596836,0.3041325609933296,0.3041325609933296,0.4996640359057469,1564948671.358255,0.0023396773596836,0.4996640359057469,2903790.4488714524,1.04736401041449e-07,1.04736401041449e-07,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.4_196.sum.uvh5,ee,4,196,3286,62,-110.15463251035548,155.60547591572114,-1.5409534618225609
4_196,190.65540049004915,long,stress,0,2461041.5,2461041.506822953,0.2652994791666667,4,1,4,4,4,0.3308758856684498,0.5502745938468236,0.5502745938468236,0.7280464634021924,2406293.253165996,0.3308758856684498,0.7280464634021924,3280.8414143128903,0.0001677236185346,0.0001677236185346,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.4_196.sum.uvh5,ee,4,196,0,62,-110.15463251035548,155.60547591572114,-1.5409534618225609
4_76,93.9206796714852,mid,quiet,17,2461041.6180555555,2461041.624878509,0.1657111055107527,2,0,2,2,2,0.0,0.0684687078802128,0.0684687078802128,0.2805166207424566,328285084.9519131,0.0,0.2805166207424566,883751.4097165731,7.747507627984597e-08,7.747507627984597e-08,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.4_76.sum.uvh5,ee,4,76,1054,62,72.81372037608848,59.3206841651254,-0.5591289010307676
4_76,93.9206796714852,mid,typical,33,2461041.7291666665,2461041.73598962,0.1653645833333333,5,0,5,5,5,0.0,0.3314947967906838,0.3314947967906838,0.3484546838830035,1529053079.1615102,0.0,0.3484546838830035,765847.0146028149,4.328472795086945e-07,4.328472795086945e-07,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.4_76.sum.uvh5,ee,4,76,2046,62,72.81372037608848,59.3206841651254,-0.5591289010307676
4_76,93.9206796714852,mid,stress,0,2461041.5,2461041.506822953,0.2350680443548387,4,1,4,4,4,0.3308758856684498,0.5502745938468236,0.5502745938468236,0.7280464634021924,3977672.782724856,0.3308758856684498,0.7280464634021924,7731.682494287019,7.117139047722464e-05,7.117139047722464e-05,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.4_76.sum.uvh5,ee,4,76,0,62,72.81372037608848,59.3206841651254,-0.5591289010307676
82_0,81.33403506806889,mid,quiet,17,2461041.6180555555,2461041.624878509,0.1657111055107527,2,0,2,2,2,0.0,0.0684687078802128,0.0684687078802128,0.2805166207424566,286714470.5329856,0.0,0.2805166207424566,536886.5849282395,1.2752918363449973e-07,1.2752918363449973e-07,lowest 20pct exposure; flag closest to median,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.82_0.sum.uvh5,ee,82,0,1054,62,29.505535782235494,-75.78924147204663,0.7996847809529548
82_0,81.33403506806889,mid,typical,18,2461041.625,2461041.631822953,0.1651755712365591,4,0,4,4,4,0.0,0.2363981628786352,0.2363981628786352,0.3843854174911955,580543100.7194903,0.0,0.3843854174911955,689050.3770512966,3.430781997250637e-07,3.430781997250637e-07,minimum robust distance to median exposure/flag/MAD,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.82_0.sum.uvh5,ee,82,0,1116,62,29.505535782235494,-75.78924147204663,0.7996847809529548
82_0,81.33403506806889,mid,stress,64,2461041.9444444445,2461041.951267397,0.6134387600806451,2,0,2,2,2,0.0,0.2812107439459313,0.2812107439459313,0.9963509766045548,116549.60974876274,0.0,0.9963509766045548,1086.298297023242,0.0002588706478842,0.0002588706478842,maximum pre_risk_score not already selected,C:\Users\kimeu\Downloads\starlink_pathB_wsl_package_v0_3_clean\starlink_pathB\zen.LST.baseline.82_0.sum.uvh5,ee,82,0,3968,62,29.505535782235494,-75.78924147204663,0.7996847809529548
