baseline_id,baseline_class,lst_stratum,lst_bin_id,sat_rank,norad_id,sat_name,epoch,freq_mhz,peak_alt_deg,mean_alt_visible_deg,n_time_visible,doppler_min_hz,doppler_max_hz,doppler_abs_max_hz,doppler_span_hz,doppler_abs_max_khz,doppler_span_khz,fraction_of_48p8khz_spacing,fraction_of_12p2khz_linewidth
11_10,mid,quiet,16,2,44537,SAT-44537-E26001.18720146,26001.18720146,150.0,70.72924967769764,70.72924967769764,1,-93.52733680041642,-93.52733680041642,93.52733680041642,0.0,0.09352733680041642,0.0,0.001916543786893779,0.007666175147575116
11_10,mid,typical,44,1,46146,SAT-46146-E26001.71208310,26001.71208310,150.0,86.58801156902221,79.29365457026981,6,-1015.4825214347412,1002.5682515251493,1015.4825214347412,2018.0507729598905,1.0154825214347412,2.0180507729598904,0.02080906806218732,0.08323627224874929
11_10,mid,typical,44,2,46484,SAT-46484-E26001.60114006,26001.60114006,150.0,71.23009826271361,70.67167389262477,2,-34.58133762994331,400.08984985791574,400.08984985791574,434.6711874878591,0.40008984985791574,0.43467118748785905,0.008198562497088438,0.03279424998835375
11_10,mid,typical,44,3,48165,SAT-48165-E26001.13184342,26001.13184342,150.0,70.05229272645082,70.05229272645082,1,-155.20142582841007,-155.20142582841007,155.20142582841007,0.0,0.15520142582841007,0.0,0.003180357086647747,0.012721428346590988
11_10,mid,stress,64,1,46538,SAT-46538-E26001.21851690,26001.21851690,150.0,89.63690995091079,78.4966853621566,5,-1124.8273364956756,1090.0610557312305,1124.8273364956756,2214.888392226906,1.1248273364956756,2.2148883922269063,0.023049740501960566,0.09219896200784226
11_10,mid,stress,64,2,45222,SAT-45222-E26001.12140841,26001.12140841,150.0,81.7023614745384,76.54799797828525,6,-996.2423681194604,1009.0785456993575,1009.0785456993575,2005.3209138188179,1.0090785456993574,2.0053209138188177,0.020677839051216344,0.08271135620486537
157_146,mid,quiet,16,1,46128,SAT-46128-E26001.00003472,26001.00003472,150.0,79.67344584883477,77.46980185095053,3,-527.423885980604,528.5238135395073,528.5238135395073,1055.9476995201112,0.5285238135395073,1.0559476995201111,0.010830406015153837,0.04332162406061535
157_146,mid,quiet,16,2,44537,SAT-44537-E26001.18720146,26001.18720146,150.0,70.72924967769764,70.72924967769764,1,-93.52733680041642,-93.52733680041642,93.52733680041642,0.0,0.09352733680041642,0.0,0.001916543786893779,0.007666175147575116
157_146,mid,typical,46,1,46912,SAT-46912-E26001.21508270,26001.21508270,150.0,84.67288036288143,77.6485367304038,6,-1092.806883699059,1085.8876551755695,1092.806883699059,2178.6945388746285,1.092806883699059,2.1786945388746286,0.022393583682357766,0.08957433472943106
157_146,mid,typical,46,2,48310,SAT-48310-E26001.08592961,26001.08592961,150.0,82.73907220527241,78.21700484736674,5,-706.1620983247335,921.3805919252346,921.3805919252346,1627.542690249968,0.9213805919252346,1.6275426902499681,0.018880749834533497,0.07552299933813399
157_146,mid,typical,46,3,48311,SAT-48311-E26001.28129776,26001.28129776,150.0,72.61057915004984,71.74941926056115,3,-338.26603957826205,465.4008292259699,465.4008292259699,803.666868804232,0.4654008292259699,0.803666868804232,0.009536902238237088,0.03814760895294835
