case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0,5.0,linear,0.002997002997002997,0.030348640069162144,0.4935064935064935,0.002997002997002997,0.03487705799495972,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0001,0.5,linear,0.002997002997002997,0.030349253213345712,0.4935064935064935,0.002997002997002997,0.03487760203247102,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0001,1.0,linear,0.002997002997002997,0.030348544758426448,0.4935064935064935,0.002997002997002997,0.034877523862582506,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0001,5.0,linear,0.002997002997002997,0.03034838685476574,0.4935064935064935,0.002997002997002997,0.03487670270010376,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.001,0.5,linear,0.002997002997002997,0.03035262190477026,0.4935064935064935,0.002997002997002997,0.034883077726266434,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.001,1.0,linear,0.002997002997002997,0.030344972373073827,0.4935064935064935,0.003996003996003996,0.0348719091411211,0.5784215784215784,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.001,5.0,linear,0.002997002997002997,0.03034908985753885,0.4935064935064935,0.002997002997002997,0.03487713095786328,0.5774225774225774,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,0.5,linear,0.005994005994005994,0.030344484597040394,0.4965034965034965,0.004995004995004995,0.034900622861280886,0.5794205794205795,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,linear,0.000999000999000999,0.030313248783920832,0.4935064935064935,0.001998001998001998,0.034834228556989165,0.5794205794205795,window-integrated candidate,20261227,20261431,10
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,5.0,linear,0.005994005994005994,0.030258699294518385,0.4965034965034965,0.003996003996003996,0.03476999146530189,0.5774225774225774,window-integrated candidate,20261227,20261431,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.0,,linear,0.001998001998001998,0.031261326576950396,0.5164835164835165,0.006993006993006993,0.03981525633746512,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.0001,,linear,0.001998001998001998,0.03126106969229916,0.5164835164835165,0.006993006993006993,0.039814759834563625,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.001,,linear,0.001998001998001998,0.031267170043663035,0.5164835164835165,0.006993006993006993,0.039821294019582266,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,linear,0.001998001998001998,0.031261299859170075,0.5164835164835165,0.006993006993006993,0.03981038347318539,0.4985014985014985,window-integrated candidate,20261091,20261295,10
