baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,candidate_statistical__frozen_polybeam,candidate_statistical__full_polybeam,PTE_global_absint__frozen_polybeam,PTE_global_absint__full_polybeam,PTE_global_max__frozen_polybeam,PTE_global_max__full_polybeam,Z_PS_max__frozen_polybeam,Z_PS_max__full_polybeam,relative_abs_bias__frozen_polybeam,relative_abs_bias__full_polybeam,delta_Z_PS_max,delta_PTE_global_absint,delta_PTE_global_max,delta_relative_abs_bias,frozen_only_candidate,full_only_candidate
0_197,stress,0,smooth,1000.0,single,False,False,0.8514851485148515,0.7326732673267327,0.7524752475247525,0.8415841584158416,-0.632370701366526,-0.9481359939506055,0.0054880672798826,0.006731881133547,-0.3157652925840796,-0.1188118811881188,0.08910891089108908,0.0012438138536644003,False,False
0_197,typical,36,khz_comb,30.0,multi,False,False,0.099009900990099,0.0693069306930693,0.6039603960396039,0.4257425742574257,-0.2731201222317616,0.1524126583259933,0.0009299092883014,0.0010974099883841,0.4255327805577549,-0.0297029702970297,-0.17821782178217827,0.00016750070008269993,False,False
0_197,typical,36,khz_comb,30.0,single,False,False,0.2871287128712871,0.4851485148514851,0.9405940594059404,0.900990099009901,-1.1461034943622863,-0.9513905640340986,0.0001858089332141,0.0001878182270472,0.1947129303281877,0.19801980198019797,-0.03960396039603942,2.009293833099996e-06,False,False
0_197,typical,36,khz_comb,1000.0,multi,False,False,0.1386138613861386,0.0396039603960396,0.7425742574257426,0.504950495049505,-0.4894911092492951,0.0017465345046262,0.0310013026720754,0.0366574923884648,0.4912376437539213,-0.099009900990099,-0.2376237623762376,0.005656189716389402,False,False
0_197,typical,36,khz_comb,1000.0,single,False,False,0.1485148514851485,0.1584158415841584,0.9108910891089108,0.9207920792079208,-0.8817605720645636,-0.8874036647425415,0.0064192084062195,0.0064360847876886,-0.005643092677977912,0.009900990099009882,0.00990099009901002,1.6876381469100102e-05,False,False
0_197,typical,36,lines,30.0,multi,False,False,0.1287128712871287,0.0495049504950495,0.5544554455445545,0.4158415841584158,-0.0817627164279918,0.2644325546812622,0.0010408160213462,0.0012666287103524,0.34619527110925397,-0.0792079207920792,-0.13861386138613868,0.00022581268900620012,False,False
0_197,typical,36,lines,30.0,single,False,False,0.4059405940594059,0.4653465346534653,0.7722772277227723,0.7722772277227723,-0.585001427778227,-0.606683113369885,0.0001896390349361,0.0001937630013658,-0.021681685591658062,0.0594059405940594,0.0,4.123966429699994e-06,False,False
0_197,typical,36,lines,1000.0,multi,False,False,0.1485148514851485,0.0495049504950495,0.6138613861386139,0.3564356435643564,-0.2569943385246395,0.3163607300532901,0.0346935312797207,0.0423362943944135,0.5733550685779296,-0.09900990099009901,-0.25742574257425743,0.007642763114692801,False,False
0_197,typical,36,lines,1000.0,single,False,False,0.1683168316831683,0.2574257425742574,0.7425742574257426,0.7425742574257426,-0.7105015809971921,-0.4428355956355522,0.0065683491191535,0.0066381815487562,0.2676659853616399,0.08910891089108908,0.0,6.983242960270034e-05,False,False
0_197,typical,36,smooth,30.0,multi,False,False,0.1386138613861386,0.0495049504950495,0.6138613861386139,0.3366336633663366,-0.2928468407098993,0.3526922574235475,0.0010393880049801,0.0012658030029652,0.6455390981334468,-0.0891089108910891,-0.27722772277227725,0.00022641499798510003,False,False
