subset_label,baseline_id,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,n_tle_records,n_sat_visible_center,n_sat_visible_any_bin,n_sat_visible_peak_bin,n_sat_peak_visible,beam_weighted_sat_exposure_center,beam_weighted_sat_exposure_bin_mean,max_sat_beam_response_center,max_sat_beam_response_bin
random1200_seed20260622,159_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,7,7,7,0.33087588566844983,0.7768853323359954,0.33087588566844983,0.7656232791366961
random1200_seed20260622,23_80,long,quiet,48,2461041.833333333,2461041.8401562865,1200,1,6,6,6,8.057650932090844e-05,0.1509318867207756,8.057650932090844e-05,0.13102959946376122
random1200_seed20260622,23_80,long,typical,44,2461041.8055555555,2461041.8123785085,1200,0,1,1,1,0.0,0.021857047287818152,0.0,0.021857047287818152
random1200_seed20260622,23_80,long,stress,0,2461041.5,2461041.506822953,1200,1,7,7,7,0.33087588566844983,0.7768853323359954,0.33087588566844983,0.7656232791366961
random1200_seed20260622,4_196,long,quiet,48,2461041.833333333,2461041.8401562865,1200,1,6,6,6,8.057650932090844e-05,0.1509318867207756,8.057650932090844e-05,0.13102959946376122
random1200_seed20260622,4_196,long,typical,53,2461041.8680555555,2461041.8748785085,1200,0,3,3,3,0.0,0.008068611734085475,0.0,0.008010422525505318
random1200_seed20260622,4_196,long,stress,0,2461041.5,2461041.506822953,1200,1,7,7,7,0.33087588566844983,0.7768853323359954,0.33087588566844983,0.7656232791366961
random1200_seed20260622,4_76,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,4,4,4,0.0,0.3043865087237865,0.0,0.16218365186419015
random1200_seed20260622,4_76,mid,typical,33,2461041.7291666665,2461041.73598962,1200,0,6,6,6,0.0,1.198649253595569,0.0,0.7237506951201093
random1200_seed20260622,4_76,mid,stress,0,2461041.5,2461041.506822953,1200,1,7,7,7,0.33087588566844983,0.7768853323359954,0.33087588566844983,0.7656232791366961
random1200_seed20260622,82_0,mid,quiet,17,2461041.6180555555,2461041.624878509,1200,0,4,4,4,0.0,0.3043865087237865,0.0,0.16218365186419015
random1200_seed20260622,82_0,mid,typical,18,2461041.625,2461041.631822953,1200,0,2,2,2,0.0,0.02805483949447976,0.0,0.028034494294777224
random1200_seed20260622,82_0,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,5,5,5,0.0,0.9606228325547861,0.0,0.7317158724347791
