subset_label,baseline_id,baseline_class,lst_stratum,lst_bin_id,lst_start,lst_end,n_tle_records,n_sat_visible_center,n_sat_visible_any_bin,n_sat_visible_peak_bin,n_sat_peak_visible,beam_weighted_sat_exposure_center,beam_weighted_sat_exposure_bin_mean,max_sat_beam_response_center,max_sat_beam_response_bin
random1200_seed20260620,0_1,short,quiet,17,2461041.6180555555,2461041.624878509,1200,0,3,3,3,0.0,0.5679147083419731,0.0,0.5677388315497071
random1200_seed20260620,0_1,short,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.4018489649352711,0.0,0.36268207725030116
random1200_seed20260620,0_1,short,stress,0,2461041.5,2461041.506822953,1200,0,1,1,1,0.0,0.00011853430155914446,0.0,0.00011853430155914446
random1200_seed20260620,0_197,mid,quiet,22,2461041.652777778,2461041.6596007315,1200,0,4,4,4,0.0,0.756809214087454,0.0,0.6777579732548015
random1200_seed20260620,0_197,mid,typical,36,2461041.75,2461041.756822953,1200,0,2,2,2,0.0,0.024343214321578804,0.0,0.02199886838512587
random1200_seed20260620,0_197,mid,stress,0,2461041.5,2461041.506822953,1200,0,1,1,1,0.0,0.00011853430155914446,0.0,0.00011853430155914446
random1200_seed20260620,11_10,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,7,7,7,0.0,0.4344395188999959,0.0,0.26626789797399497
random1200_seed20260620,11_10,mid,typical,44,2461041.8055555555,2461041.8123785085,1200,0,2,2,2,0.0,0.4018489649352711,0.0,0.36268207725030116
random1200_seed20260620,11_10,mid,stress,64,2461041.9444444445,2461041.951267397,1200,0,1,1,1,0.0,6.231651529105718e-05,0.0,6.231651529105718e-05
random1200_seed20260620,157_146,mid,quiet,16,2461041.611111111,2461041.6179340645,1200,0,7,7,7,0.0,0.4344395188999959,0.0,0.26626789797399497
random1200_seed20260620,157_146,mid,typical,46,2461041.8194444445,2461041.826267397,1200,0,3,3,3,0.0,0.5506057178457157,0.0,0.5137068637130856
