morphology,injection_mode,bg_id,baseline_group,baseline_length_m,S_ref_jy,qa_delta_null_db,qa_null_positive,qa_S_win_db,qa_null_p95_db,Z_PS_max,Z_PS_abs_integrated,PTE_global_max,PTE_global_absint,obs_max_bias,obs_abs_integrated,null_max_bias_p50,null_max_bias_p95,null_max_bias_p99,null_abs_integrated_p50,null_abs_integrated_p95,null_abs_integrated_p99,null_global_stats_path,Z_PS_bin_max,Z_PS_bin_p95,PS_gt_1,PS_gt_2,PS_gt_3,window_abs_bias_sum,window_signed_bias_sum,window_bg_abs_sum,relative_abs_bias,eta_tau,margin_to_window_ns,kperp,z_eff,X_mpc,Y_mpc_per_hz,nu_eff_hz
literature_lofar_lines,a_only,bg_02_moderate,short_14p6m,14.6,100.0,-inf,False,-inf,-84.47474642258732,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__a_only__bg_02_moderate__short_14p6m__S100.npz,,,False,False,False,0.0,0.0,151474.42372022962,0.0,0.6919393333453328,115.00266472066534,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,coherent_ab,bg_02_moderate,short_14p6m,14.6,300.0,-inf,False,-inf,-79.6990586315149,0.0,0.0,0.7227722772277227,0.5742574257425742,3.552713678800501e-15,4.618527782440651e-14,3.552713678800501e-15,2.842170943040401e-14,2.842170943040401e-14,4.618527782440651e-14,7.460698725481052e-14,1.0302869668521453e-13,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__coherent_ab__bg_02_moderate__short_14p6m__S300.npz,2.111001654603744,1.2666009927622457,False,False,False,4.618527782440651e-14,-3.907985046680551e-14,151474.42372022962,3.04904793100318e-19,0.6919393333453328,115.00266472066534,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,a_only,bg_02_moderate,short_14p6m,14.6,300.0,-inf,False,-inf,-79.6990586315149,0.0,0.0,0.6831683168316832,0.5643564356435643,3.552713678800501e-15,4.618527782440651e-14,3.552713678800501e-15,2.842170943040401e-14,2.842170943040401e-14,4.618527782440651e-14,7.460698725481052e-14,7.460698725481052e-14,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__a_only__bg_02_moderate__short_14p6m__S300.npz,2.0833333333333335,1.2499999999999993,False,False,False,4.618527782440651e-14,-3.907985046680551e-14,151474.42372022962,3.04904793100318e-19,0.6919393333453328,115.00266472066534,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,coherent_ab,bg_02_moderate,short_14p6m,14.6,1000.0,-inf,False,-inf,-74.4722728404277,-0.8249149481828919,-0.5620756328971627,0.9405940594059405,0.7821782178217822,3.552713678800501e-15,1.3145040611561853e-13,2.842170943040401e-14,1.1368683772161603e-13,1.1368683772161603e-13,1.4921397450962104e-13,2.0712320747406914e-13,2.311040248059727e-13,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__coherent_ab__bg_02_moderate__short_14p6m__S1000.npz,2.071232553337333,0.6213697660011978,False,False,False,1.3145040611561853e-13,-1.2434497875801753e-13,151474.42372022962,8.678059495932126e-19,0.6919393333453328,115.00266472066534,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,a_only,bg_02_moderate,short_14p6m,14.6,1000.0,-inf,False,-inf,-74.4722728404277,-0.7385137337229513,-0.5138977215059773,0.9603960396039604,0.7227722772277227,3.552713678800501e-15,1.3145040611561853e-13,2.842170943040401e-14,1.1368683772161603e-13,1.1368683772161603e-13,1.5987211554602254e-13,2.311040248059726e-13,2.4868995751603507e-13,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__a_only__bg_02_moderate__short_14p6m__S1000.npz,2.096569673443838,0.5241424183609595,False,False,False,1.3145040611561853e-13,-1.2434497875801753e-13,151474.42372022962,8.678059495932126e-19,0.6919393333453328,115.00266472066534,0.00494381046924773,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,coherent_ab,bg_02_moderate,mid_140m,140.4,10.0,-inf,False,-inf,-108.2505456169056,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__coherent_ab__bg_02_moderate__mid_140m__S10.npz,,,False,False,False,0.0,0.0,71920.4879342938,0.0,0.6919393331897669,244.2722005373355,0.04754184862208091,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,a_only,bg_02_moderate,mid_140m,140.4,10.0,-inf,False,-inf,-108.2505456169056,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__a_only__bg_02_moderate__mid_140m__S10.npz,,,False,False,False,0.0,0.0,71920.4879342938,0.0,0.6919393331897669,244.2722005373355,0.04754184862208091,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,coherent_ab,bg_02_moderate,mid_140m,140.4,30.0,-inf,False,-inf,-103.48489947446198,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__coherent_ab__bg_02_moderate__mid_140m__S30.npz,,,False,False,False,0.0,0.0,71920.4879342938,0.0,0.6919393331897669,244.2722005373355,0.04754184862208091,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,a_only,bg_02_moderate,mid_140m,140.4,30.0,-inf,False,-inf,-103.48489947446198,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__a_only__bg_02_moderate__mid_140m__S30.npz,,,False,False,False,0.0,0.0,71920.4879342938,0.0,0.6919393331897669,244.2722005373355,0.04754184862208091,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
literature_lofar_lines,coherent_ab,bg_02_moderate,mid_140m,140.4,100.0,-inf,False,-inf,-98.2661380478627,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results\revision_bandpower_propagation_v3_pte\null_global_stats\literature_lofar_lines__coherent_ab__bg_02_moderate__mid_140m__S100.npz,,,False,False,False,0.0,0.0,71920.4879342938,0.0,0.6919393331897669,244.2722005373355,0.04754184862208091,8.47264794423514,9280.92437317491,1.723133881133731e-05,149948120.1171875
