morphology,injection_mode,bg_id,baseline_group,S_ref_jy,tau_ns,kpar,kperp,bias,null_median_bias,Z_PS
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-735.6590563165905,-0.26824858035411525,0.00494381046924773,0.04430501295632894,0.005207937889736058,0.7071416876968017
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-723.1902587519027,-0.2637019942464184,0.00494381046924773,0.010798120305025805,-0.0040970332195229275,0.44195468803037063
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-710.7214611872147,-0.25915540813872157,0.00494381046924773,-0.021741089501688293,-0.0005584569201459999,-0.6779867828473082
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-698.2526636225267,-0.2546088220310247,0.00494381046924773,-0.016163001058643545,-0.0021536326439459685,-0.7123335195969017
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-685.7838660578386,-0.2500622359233278,0.00494381046924773,-0.006091323692572814,0.0002020604649572988,-0.6595993939655125
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-673.3150684931508,-0.2455156498156309,0.00494381046924773,-0.011608362544848205,-0.0005892219467256155,-0.5399052436684978
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-660.8462709284628,-0.24096906370793406,0.00494381046924773,0.0013982308526792053,0.0006814413017615095,0.07386617143830186
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-648.3774733637747,-0.23642247760023719,0.00494381046924773,0.006598412443523216,0.0008035705845621521,0.5250100998715532
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-635.9086757990868,-0.23187589149254034,0.00494381046924773,-0.005579986167614237,0.0020924277795186796,-0.8747810487725467
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-623.4398782343989,-0.22732930538484344,0.00494381046924773,-0.029964476766963344,0.0026579415484206947,-0.681052973888781
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-610.9710806697108,-0.22278271927714655,0.00494381046924773,-0.02363593905960215,0.005635655971246933,-0.6424064250820389
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-598.5022831050229,-0.2182361331694497,0.00494381046924773,-0.007955858701166107,0.0029918331878349136,-0.6271186689645781
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-586.0334855403349,-0.21368954706175286,0.00494381046924773,-0.01600294548245529,0.008889627720293447,-0.7603285979068248
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-573.5646879756468,-0.20914296095405596,0.00494381046924773,0.008890823856404495,-0.0005747629090819828,0.16704129141054597
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-561.0958904109589,-0.2045963748463591,0.00494381046924773,0.0639057456453429,-0.0032805058867779735,0.797802398209987
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-548.627092846271,-0.20004978873866222,0.00494381046924773,0.07160176321508516,-0.005096494201552559,0.8121574781281632
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-536.1582952815829,-0.19550320263096535,0.00494381046924773,-0.019798436064320413,-0.001337988631121334,-0.20346912397699718
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-523.689497716895,-0.1909566165232685,0.00494381046924773,-0.07443837163009448,-0.00734999543055892,-0.5472984766593306
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-511.22070015220703,-0.18641003041557164,0.00494381046924773,-0.06822708729214355,0.008367355364953255,-0.7359109461715523
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-498.751902587519,-0.18186344430787474,0.00494381046924773,-0.02993025998785015,0.02556675677487874,-0.4080003627291935
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-486.2831050228311,-0.1773168582001779,0.00494381046924773,0.06875216442222154,-0.005644848899464705,0.5869599126282292
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-473.8143074581431,-0.17277027209248103,0.00494381046924773,0.09350441339529425,0.0075807498431004205,0.6176647137474878
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-461.34550989345513,-0.16822368598478415,0.00494381046924773,0.06906246401172211,0.010785159633314834,0.6002015108103325
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-448.8767123287671,-0.16367709987708726,0.00494381046924773,0.03716603261727869,-0.02461049794237624,0.621661606043794
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-436.4079147640792,-0.1591305137693904,0.00494381046924773,-0.057494547721034905,0.005118905021618048,-0.3794585148634964
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-423.9391171993912,-0.15458392766169354,0.00494381046924773,-0.09820398681404185,0.0021746523490264735,-0.8154065797179967
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-411.47031963470323,-0.1500373415539967,0.00494381046924773,-0.11242909182965377,0.004584391984053582,-0.665523747866494
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-399.00152207001526,-0.14549075544629983,0.00494381046924773,-0.007096815571458137,0.014499538376753662,-0.19918248235505603
