case_id,old_row_index,baseline_id,baseline_length_m,lst_stratum,lst_bin_id,beam_model,morphology,flux_jy,multiplicity,N_null,Z_PS_max_old,Z_PS_max_new,PTE_global_max_old,PTE_global_max_new,PTE_global_absint_old,PTE_global_absint_new,relative_abs_bias,window_abs_bias_sum,window_bg_abs_sum,null_mad_win,n_null_exceed_max,n_null_exceed_absint,selection_mode,n_seed_cases_before_pair_expansion,intrinsic_phase_mode,intrinsic_phase_seed,intrinsic_phases_rad,retained_PTE001,retained_PTE005,retained_absint_001,retained_absint_003,retained_physical_floor_1e3,retained_physical_floor_1e2,retained_absint_floor_1e3,retained_absint_floor_1e2
0_1_lst044_typical_full_polybeam_smooth_S30_multi,22,0_1,14.60794900739243,typical,44,full_polybeam,smooth,30.0,multi,1000,4.543446845967243,3.808567214864848,0.0396039603960396,0.026973026973026972,0.0594059405940594,0.06793206793206794,0.0034748303657372963,219496.19345941237,63167455.77674818,1593.1936131616822,26,67,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_smooth_S300_single,23,0_1,14.60794900739243,typical,44,full_polybeam,smooth,300.0,single,1000,1.3046720892429151,1.3195874108090728,0.0198019801980198,0.012987012987012988,0.3663366336633663,0.34065934065934067,0.011583333007724305,731689.6755127725,63167455.77674818,11885.696092905244,12,340,local,60,none,,0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_smooth_S300_multi,24,0_1,14.60794900739243,typical,44,full_polybeam,smooth,300.0,multi,1000,3.277478006416088,3.4687177977737753,0.0297029702970297,0.025974025974025976,0.0891089108910891,0.07592407592407592,0.037232662746115336,2351892.57746582,63167455.77674818,19268.11100067404,25,75,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_smooth_S1000_single,25,0_1,14.60794900739243,typical,44,full_polybeam,smooth,1000.0,single,1000,1.52801252587412,1.4213248997346666,0.0099009900990099,0.003996003996003996,0.6435643564356436,0.5354645354645354,0.039815944148688984,2515071.891221787,63167455.77674818,38922.762891595456,3,535,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_full_polybeam_smooth_S1000_multi,26,0_1,14.60794900739243,typical,44,full_polybeam,smooth,1000.0,multi,1000,3.339902220957026,3.8782786492258503,0.0198019801980198,0.013986013986013986,0.0198019801980198,0.01998001998001998,0.18727262943072714,11829535.537760807,63167455.77674818,72348.21544653719,13,19,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,True,False,False,False,False
0_1_lst044_typical_full_polybeam_lines_S10_multi,27,0_1,14.60794900739243,typical,44,full_polybeam,lines,10.0,multi,1000,2.4135884473507403,3.378230475358903,0.0198019801980198,0.016983016983016984,0.1188118811881188,0.07992007992007992,0.0011563938009613076,73046.45428272913,63167455.77674818,590.2553991938476,16,79,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_lines_S30_single,28,0_1,14.60794900739243,typical,44,full_polybeam,lines,30.0,single,1000,1.288180536843479,1.3017065232515526,0.0198019801980198,0.006993006993006993,0.2772277227722772,0.3546453546453546,0.0011541144326991327,72902.47238882928,63167455.77674818,1142.2370605417818,6,354,local,60,none,,0.00000000,True,True,False,False,True,False,False,False
0_1_lst044_typical_full_polybeam_lines_S30_multi,29,0_1,14.60794900739243,typical,44,full_polybeam,lines,30.0,multi,1000,2.924303831294972,3.483386873862006,0.0495049504950495,0.025974025974025976,0.0693069306930693,0.07992007992007992,0.0034748462306760223,219497.19560722774,63167455.77674818,1724.1974166978034,25,79,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_lines_S300_single,30,0_1,14.60794900739243,typical,44,full_polybeam,lines,300.0,single,1000,1.4164491346498451,1.3124626409675535,0.0099009900990099,0.005994005994005994,0.396039603960396,0.3876123876123876,0.011585297390815619,731813.7605948217,63167455.77674818,11752.322970861045,5,387,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_full_polybeam_lines_S300_multi,31,0_1,14.60794900739243,typical,44,full_polybeam,lines,300.0,multi,1000,2.8983720371233828,3.525526226956092,0.0396039603960396,0.024975024975024976,0.0792079207920792,0.06393606393606394,0.03724058524165803,2352393.0213526543,63167455.77674818,18894.687783030735,24,63,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_lines_S1000_single,32,0_1,14.60794900739243,typical,44,full_polybeam,lines,1000.0,single,1000,1.50940689004864,1.4227205832765457,0.0198019801980198,0.002997002997002997,0.5148514851485149,0.5444555444555444,0.039815868374317415,2515067.1047475217,63167455.77674818,38543.8167418909,2,544,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_full_polybeam_lines_S1000_multi,33,0_1,14.60794900739243,typical,44,full_polybeam,lines,1000.0,multi,1000,3.7790244647379736,3.156308474506202,0.0396039603960396,0.026973026973026972,0.0198019801980198,0.022977022977022976,0.1872045693490289,11825236.355559971,63167455.77674818,88432.70066339307,26,22,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,True,False,False,False,False
0_1_lst044_typical_full_polybeam_khz_comb_S30_single,34,0_1,14.60794900739243,typical,44,full_polybeam,khz_comb,30.0,single,1000,1.2287136086855606,1.2345227914772874,0.0099009900990099,0.000999000999000999,0.4257425742574257,0.42957042957042957,0.0010142341070963744,64066.58810727991,63167455.77674818,1090.9794390696916,0,429,local,60,none,,0.00000000,True,True,False,False,True,False,False,False
0_1_lst044_typical_full_polybeam_khz_comb_S30_multi,35,0_1,14.60794900739243,typical,44,full_polybeam,khz_comb,30.0,multi,1000,3.9058194963596735,3.3504930730447224,0.0495049504950495,0.03596403596403597,0.0792079207920792,0.0919080919080919,0.0029722683149374348,187750.62734044023,63167455.77674818,1541.1417819876224,35,91,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_khz_comb_S300_single,36,0_1,14.60794900739243,typical,44,full_polybeam,khz_comb,300.0,single,1000,1.2870372613634264,1.1771359980885787,0.0099009900990099,0.001998001998001998,0.4059405940594059,0.47152847152847155,0.010183093957973822,643240.137260783,63167455.77674818,11666.306545593077,1,471,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_full_polybeam_khz_comb_S300_multi,37,0_1,14.60794900739243,typical,44,full_polybeam,khz_comb,300.0,multi,1000,3.301035731393436,3.5564870636036914,0.0396039603960396,0.030969030969030968,0.1188118811881188,0.08691308691308691,0.0312818320922353,1975993.7453019354,63167455.77674818,16098.925167688896,30,86,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
0_1_lst044_typical_full_polybeam_khz_comb_S1000_single,38,0_1,14.60794900739243,typical,44,full_polybeam,khz_comb,1000.0,single,1000,1.378444025761462,1.3217443790155263,0.0099009900990099,0.004995004995004995,0.504950495049505,0.5424575424575424,0.034877657347827204,2203132.878115451,63167455.77674818,37539.6711268356,4,542,local,60,none,,0.00000000,True,True,False,False,True,True,False,False
0_1_lst044_typical_full_polybeam_khz_comb_S1000_multi,39,0_1,14.60794900739243,typical,44,full_polybeam,khz_comb,1000.0,multi,1000,3.6240493467289903,3.623403318762399,0.0495049504950495,0.025974025974025976,0.0495049504950495,0.03996003996003996,0.14386559504704158,9087623.61292956,63167455.77674818,64423.53149577216,25,39,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,False,False,False,False,False
157_146_lst016_quiet_frozen_polybeam_smooth_S300_single,40,157_146,140.36979839670377,quiet,16,frozen_polybeam,smooth,300.0,single,1000,1.1411932966739369,0.9569212623265732,0.0297029702970297,0.03496503496503497,0.900990099009901,0.8621378621378621,0.0010205927655992588,7333.157380281642,7185194.357100749,9.33024577249671,34,862,local,60,none,,0.00000000,False,True,False,False,False,False,False,False
157_146_lst016_quiet_frozen_polybeam_lines_S300_single,41,157_146,140.36979839670377,quiet,16,frozen_polybeam,lines,300.0,single,1000,1.1180316347342394,1.011937278835014,0.0594059405940594,0.03796203796203796,0.8415841584158416,0.8701298701298701,0.0010200441790454303,7329.215679270693,7185194.357100749,9.842041827400863,37,870,local,60,none,,0.00000000,False,True,False,False,False,False,False,False
157_146_lst016_quiet_full_polybeam_smooth_S300_single,42,157_146,140.36979839670377,quiet,16,full_polybeam,smooth,300.0,single,1000,1.3650087713267332,1.231934040657196,0.0396039603960396,0.030969030969030968,0.8910891089108911,0.8961038961038961,0.0011390403977917275,8184.226638722914,7185194.357100749,10.060640011805845,30,896,local,60,none,,0.00000000,False,True,False,False,False,False,False,False
157_146_lst016_quiet_full_polybeam_lines_S300_single,43,157_146,140.36979839670377,quiet,16,full_polybeam,lines,300.0,single,1000,1.3875573406960549,1.206161122366797,0.0297029702970297,0.03396603396603397,0.9108910891089108,0.903096903096903,0.0011390975173923754,8184.637054155169,7185194.357100749,11.159182183455414,33,903,local,60,none,,0.00000000,False,True,False,False,False,False,False,False
157_146_lst046_typical_frozen_polybeam_smooth_S30_multi,44,157_146,140.36979839670377,typical,46,frozen_polybeam,smooth,30.0,multi,1000,2.667443733349361,2.2560733655026866,0.0198019801980198,0.03296703296703297,0.0297029702970297,0.013986013986013986,0.006165310337667913,24147.73307486734,3916710.068483179,19.918607654554762,32,13,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,True,False,False,False,False
157_146_lst046_typical_frozen_polybeam_smooth_S300_multi,45,157_146,140.36979839670377,typical,46,frozen_polybeam,smooth,300.0,multi,1000,2.639482867362547,2.710351990245343,0.0198019801980198,0.016983016983016984,0.0297029702970297,0.023976023976023976,0.09764450526359639,382445.2168979867,3916710.068483179,126.07114725398787,16,23,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,True,False,False,False,False
157_146_lst046_typical_frozen_polybeam_lines_S30_multi,46,157_146,140.36979839670377,typical,46,frozen_polybeam,lines,30.0,multi,1000,2.434066079069621,2.3374131410966568,0.0297029702970297,0.03296703296703297,0.0198019801980198,0.013986013986013986,0.006164716448877367,24145.406984661855,3916710.068483179,20.194253257047848,32,13,local,60,none,,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,False,True,False,True,False,False,False,False
