case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
2,0_1,typical,44,full_polybeam,frozen_polybeam,lines,300.0,single,smooth,0.01,5.0,linear,0.006993006993006993,0.011607531136279268,0.3886113886113886,0.003996003996003996,0.009146009945570069,0.4255744255744256,window-integrated candidate,20262077,20261669,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,white,0.0,,linear,0.001998001998001998,0.010182898366988996,0.4725274725274725,0.002997002997002997,0.008889471002946552,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,white,0.0001,,linear,0.001998001998001998,0.010182931939951304,0.4725274725274725,0.002997002997002997,0.008889492211422446,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,white,0.001,,linear,0.001998001998001998,0.010182053202739813,0.4745254745254745,0.002997002997002997,0.008889011447698568,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,white,0.01,,linear,0.001998001998001998,0.010178046119174465,0.4805194805194805,0.002997002997002997,0.008884587743077137,0.3166833166833167,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.0,0.5,linear,0.001998001998001998,0.010182898366988996,0.4725274725274725,0.002997002997002997,0.008889471002946552,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.0,1.0,linear,0.001998001998001998,0.010182898366988996,0.4725274725274725,0.002997002997002997,0.008889471002946552,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.0,5.0,linear,0.001998001998001998,0.010182898366988996,0.4725274725274725,0.002997002997002997,0.008889471002946552,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.0001,0.5,linear,0.001998001998001998,0.01018310094563169,0.47152847152847155,0.002997002997002997,0.008889674544275769,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.0001,1.0,linear,0.001998001998001998,0.010182970677105602,0.47052947052947053,0.002997002997002997,0.008889376820820334,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.0001,5.0,linear,0.001998001998001998,0.010182760594037329,0.4725274725274725,0.002997002997002997,0.00888937042789869,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.001,0.5,linear,0.001998001998001998,0.010185217477286982,0.46653346653346656,0.002997002997002997,0.008891211772832508,0.3106893106893107,window-integrated candidate,20262213,20261805,10
